sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;Тр-р;2;3;0;АТ-11от - Шины АТ-11;0.22;-5.01;;;0.503;;0;0;-234;-128;317 
0;0;Тр-р;1;2;0;Система - АТ-11от;0.22;47.73;9.6;0.7;1;;0;0;-235;-145;318 
0;0;ЛЭП;3;4;0;Шины АТ-11 - ПС-1;7.2;49.56;-328.8;;;;0;0;-117;-65;337 
0;0;ЛЭП;3;4;0;Шины АТ-11 - ПС-1;7.2;49.56;-328.8;;;;0;0;-117;-65;337 
0;0;Тр-р;4;5;0;ПС-1 - Т-7от;0.44;3.95;17.9;3.2;1;;0;0;-121;-85;373 
0;0;Тр-р;5;7;0;Т-7от - Н1;0.87;55.69;;;0.053;;0;0;-60;-41;186 
0;0;Тр-р;5;6;0;Т-7от - Н1;0.87;55.69;;;0.053;;0;0;-60;-41;186 
0;0;Тр-р;4;8;0;ПС-1 - Т-8от;0.44;3.95;17.9;3.2;1;;0;0;-121;-85;373 
0;0;Тр-р;8;9;0;Т-8от - Н1;0.87;55.69;;;0.053;;0;0;-60;-41;186 
0;0;Тр-р;8;10;0;Т-8от - Н1;0.87;55.69;;;0.053;;0;0;-60;-41;186 
0;0;ЛЭП;4;11;0;ПС-1 - Экв1;5.76;39.45;-263;;;;0;0;6;18;47 
0;0;ЛЭП;4;11;0;ПС-1 - Экв1;5.76;39.45;-263;;;;0;0;6;18;47 
0;0;Тр-р;11;12;0;Экв1 - Г-3;0.65;27.33;18.8;4.1;0.063;;0;0;89;156;450 
0;0;Тр-р;11;13;0;Экв1 - Г-4;0.65;27.33;18.8;4.1;0.063;;0;0;89;156;450 
0;0;ЛЭП;11;14;0;Экв1 - ПС-2;5.88;25.74;-158.4;;;;0;0;-23;-17;87 
0;0;ЛЭП;14;15;0;ПС-2 - Т-5от;2.81;19;;;;;0;0;-23;-25;87 
0;0;Тр-р;15;16;0;Т-5от - Н2;5.62;266.15;;;0.048;;0;0;-12;-12;43 
0;0;Тр-р;15;17;0;Т-5от - Н2;5.62;266.15;;;0.048;;0;0;-12;-12;43 
0;0;ЛЭП;11;18;0;Экв1 - Экв2;1.44;9.91;-65.8;;;;0;0;-72;-143;410 
0;0;ЛЭП;11;18;0;Экв1 - Экв2;1.44;9.91;-65.8;;;;0;0;-72;-143;410 
0;0;Тр-р;18;19;0;Экв2 - Г-1;2.93;80.47;8;1.8;0.054;;0;0;56;-90;273 
0;0;Тр-р;18;20;0;Экв2 - Г-2;2.93;80.47;8;1.8;0.054;;0;0;56;-90;273 
0;0;ЛЭП;18;21;0;Экв2 - ПС-4;5.88;25.74;-158.4;;;;0;0;-38;-13;113 
0;0;ЛЭП;18;21;0;Экв2 - ПС-4;5.88;25.74;-158.4;;;;0;0;-38;-13;113 
0;0;Тр-р;21;22;0;ПС-4 - Н4;2.93;80.53;;;0.027;;0;0;-38;-20;113 
0;0;Тр-р;21;23;0;ПС-4 - Н4;2.93;80.53;;;0.027;;0;0;-38;-20;113 
0;0;ЛЭП;18;24;0;Экв2 - ПС-5;3.6;24.78;-164.4;;;;0;0;-89;-39;259 
0;0;ЛЭП;18;24;0;Экв2 - ПС-5;3.6;24.78;-164.4;;;;0;0;-89;-39;259 
0;0;Тр-р;24;25;0;ПС-5 - Н5;2.93;80.53;;;0.027;;0;0;-38;-20;114 
0;0;Тр-р;24;26;0;ПС-5 - Н5;2.93;80.53;;;0.027;;0;0;-38;-20;114 
0;0;ЛЭП;24;27;0;ПС-5 - ПС-3;5.04;34.69;-230.2;;;;0;0;-50;-22;158 
0;0;ЛЭП;24;27;0;ПС-5 - ПС-3;5.04;34.69;-230.2;;;;0;0;-50;-22;158 
0;0;Тр-р;27;28;0;ПС-3 - Н3;2.93;80.53;;;0.027;;0;0;-38;-20;118 
0;0;Тр-р;27;29;0;ПС-3 - Н3;2.93;80.53;;;0.027;;0;0;-38;-20;118 
0;0;ЛЭП;27;30;0;ПС-3 - ПС-6;5.88;25.74;-158.4;;;;0;0;-23;-19;96 
0;0;ЛЭП;30;31;0;ПС-6 - Т-6от;2.81;19;;;;;0;0;-23;-26;96 
0;0;Тр-р;31;32;0;Т-6от - Н6;5.62;266.15;;;0.048;;0;0;-12;-13;48 
0;0;Тр-р;31;33;0;Т-6от - Н6;5.62;266.15;;;0.048;;0;0;-12;-13;48 
0;0;Тр-р;2;34;0;АТ-11от - АТ11Н;0.22;75.88;;;0.077;;0;0;;; 
