sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;База;1;Система;500;0;;;234.7;144.7;500;-1000;1000;;;500;;; 
0;0;Нагр;2;АТ-11от;500;0;;;;;;;;;;486.82;-2.63;; 
0;0;Нагр;3;Шины АТ-11;220;0;;;;;;;;;;245.71;-2.34;; 
0;0;Нагр;4;ПС-1;220;0;;;;;;;;;;228.23;-7.73;; 
0;0;Нагр;5;Т-7от;220;0;;;;;;;;;;226.56;-8.22;; 
0;0;Нагр;6;Н1;11;0;60;35.4;;;;;;;;11.57;-12.08;35;60 
0;0;Нагр;7;Н1;11;0;60;35.4;;;;;;;;11.57;-12.08;35;60 
0;0;Нагр;8;Т-8от;220;0;;;;;;;;;;226.56;-8.22;; 
0;0;Нагр;9;Н1;11;0;60;35.4;;;;;;;;11.57;-12.08;35;60 
0;0;Нагр;10;Н1;11;0;60;35.4;;;;;;;;11.57;-12.08;35;60 
0;0;Нагр;11;Экв1;220;0;;;;;;;;;;230.22;-7.55;; 
0;0;Ген;12;Г-3;16;0;10;4.8;100;178.1;15.8;-24.7;1000;;;15.75;-5.21;5;10 
0;0;Ген;13;Г-4;16;0;10;4.8;100;178.1;15.8;-24.7;1000;;;15.75;-5.21;5;10 
0;0;Нагр;14;ПС-2;220;0;;;;;;;;;;227.24;-8.07;; 
0;0;Нагр;15;Т-5от;220;0;;;;;;;;;;224.86;-8.49;; 
0;0;Нагр;16;Н2;11;0;11.6;10.8;;;;;;;;10.1;-12.14;11;12 
0;0;Нагр;17;Н2;11;0;11.6;10.8;;;;;;;;10.1;-12.14;11;12 
0;0;Нагр;18;Экв2;220;0;;;;;;;;;;223.54;-8.12;; 
0;0;Ген;19;Г-1;11;0;6.3;3;63;-68.3;10.5;-1000;47.3;;;10.5;-1.78;3;6 
0;0;Ген;20;Г-2;11;0;6.3;3;63;-68.3;10.5;-1000;47.3;;;10.5;-1.78;3;6 
0;0;Нагр;21;ПС-4;220;0;;;;;;;;;;220.6;-9.15;; 
0;0;Нагр;22;Н4;6;0;38;17;;;;;;;;5.76;-12.82;17;38 
0;0;Нагр;23;Н4;6;0;38;17;;;;;;;;5.76;-12.82;17;38 
0;0;Нагр;24;ПС-5;220;0;;;;;;;;;;217.54;-10.53;; 
0;0;Нагр;25;Н5;6;0;38;17;;;;;;;;5.67;-14.31;17;38 
0;0;Нагр;26;Н5;6;0;38;17;;;;;;;;5.67;-14.31;17;38 
0;0;Нагр;27;ПС-3;220;0;;;;;;;;;;212.16;-12.52;; 
0;0;Нагр;28;Н3;6;0;38;17;;;;;;;;5.52;-16.5;17;38 
0;0;Нагр;29;Н3;6;0;38;17;;;;;;;;5.52;-16.5;17;38 
0;0;Нагр;30;ПС-6;220;0;;;;;;;;;;208.74;-13.13;; 
0;0;Нагр;31;Т-6от;220;0;;;;;;;;;;206.08;-13.62;; 
0;0;Нагр;32;Н6;11;0;11.6;10.8;;;;;;;;9.12;-18.03;11;12 
0;0;Нагр;33;Н6;11;0;11.6;10.8;;;;;;;;9.12;-18.03;11;12 
0;0;Нагр;34;АТ11Н;35;0;;;;;;;;;;;;; 
