sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;Тр-р;10;3003;0;Генер-1      - Пр1 ЭС 220 кВ;;0.11;;;15.366;;0;0;-194;-72;7587 
0;0;Тр-р;11;3004;0;Генер-2      - Пр2 ЭС 220 кВ;;0.11;;;15.366;;0;0;-194;-72;7587 
0;0;Тр-р;12;3007;0;Генер-3      - Пр5 ЭС 220 кВ;;0.11;;;15.366;;0;0;-194;-72;7587 
0;0;Тр-р;13;3010;0;Генер-4      - Пр8 ЭС 220 кВ;;0.11;;;15.366;;0;0;-194;-72;7587 
0;0;Тр-р;14;10;0;Тр-СН-1      - Генер-1     ;0.02;0.13;;100.8;1;;0;0;16;9;683 
0;0;Тр-р;14;15;0;Тр-СН-1      - Сн-1А       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;14;16;0;Тр-СН-1      - Сн-1Б       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;17;11;0;Тр-СН-2      - Генер-2     ;0.02;0.13;;100.8;1;;0;0;16;9;683 
0;0;Тр-р;17;18;0;Тр-СН-2      - Сн-2А       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;17;19;0;Тр-СН-2      - Сн-2Б       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;20;12;0;Тр-СН-3      - Генер-3     ;0.02;0.13;;100.8;1;;0;0;16;9;683 
0;0;Тр-р;20;21;0;Тр-СН-3      - Сн-3А       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;20;22;0;Тр-СН-3      - Сн-3Б       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;23;13;0;Тр-СН-4      - Генер-4     ;0.02;0.13;;100.8;1;;0;0;16;9;683 
0;0;Тр-р;23;24;0;Тр-СН-4      - Сн-4А       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;23;25;0;Тр-СН-4      - Сн-4Б       ;0.05;1.82;;;0.4;;0;0;-8;-5;342 
0;0;Тр-р;26;27;0;Рез-Тсн      - Рез-СН-А    ;7.75;332.6;;;0.027;;0;0;;; 
0;0;Тр-р;26;28;0;Рез-Тсн      - Рез-СН-Б    ;7.75;332.6;;;0.027;;0;0;;; 
0;1;ЛЭП;27;25;0;Рез-СН-А     - Сн-4Б       ;;;;;;;0;0;;; 
0;0;ЛЭП;31;3008;0;Пс-2 220     - Пр6 ЭС 220 кВ;8.64;34.24;-218.4;;;;0;0;55;17;145 
0;0;ЛЭП;3005;3701;0;Пр3 ЭС 220 кВ - СШ2 ПС1 220 кВ;5.2;32.08;-227;;;;0;0;-331;-99;856 
0;0;ЛЭП;3009;49;0;Пр7 ЭС 220 кВ - Л3точ кз    ;4.32;17.12;-109.2;;;;0;0;-56;-7;141 
0;0;ЛЭП;52;3006;0;Л1точ кз     - Пр4 ЭС 220 кВ;2.6;16.04;-113.5;;;;0;0;326;70;855 
0;0;ЛЭП;31;32;0;Пс-2 220     - Пс-3-220    ;7.56;29.96;-191.1;;;;0;0;-20;-1;57 
0;0;ЛЭП;31;51;0;Пс-2 220     - Л4точ кз    ;3.78;14.98;-95.5;;;;0;0;-20;-1;53 
0;0;Тр-р;33;31;0;Пс-2-Тр1     - Пс-2 220    ;2.81;17.97;;0.9;1;;0;0;35;16;97 
0;0;Тр-р;33;35;0;Пс-2-Тр1     - Пс-2-Н21    ;5.62;254.52;;;0.048;;0;0;-18;-8;48 
