sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;10;Генер-1     ;16;0;;;210;81.8;15.8;;124;;;15.75;40.07;; 
0;0;Нагр;11;Генер-2     ;16;0;;;210;81.8;15.8;;124;;;15.75;40.07;; 
0;0;Нагр;12;Генер-3     ;16;0;;;210;81.8;15.8;;124;;;15.75;40.07;; 
0;0;Нагр;13;Генер-4     ;16;0;;;210;81.8;15.8;;124;;;15.75;40.07;; 
0;0;Нагр;14;Тр-СН-1     ;16;0;;;;;;;;;;15.65;39.64;; 
0;0;Нагр;15;Сн-1А       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;16;Сн-1Б       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;17;Тр-СН-2     ;16;0;;;;;;;;;;15.65;39.64;; 
0;0;Нагр;18;Сн-2А       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;19;Сн-2Б       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;20;Тр-СН-3     ;16;0;;;;;;;;;;15.65;39.64;; 
0;0;Нагр;21;Сн-3А       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;22;Сн-3Б       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;23;Тр-СН-4     ;16;0;;;;;;;;;;15.65;39.64;; 
0;0;Нагр;24;Сн-4А       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;25;Сн-4Б       ;6;0;8;4;;;;;;;;6.05;36.15;4;8 
0;0;Нагр;26;Рез-Тсн     ;220;0;;;;;;;;;;234.73;35.05;; 
0;0;Нагр;27;Рез-СН-А    ;6;0;;;;;;;;;;6.43;35.05;; 
0;0;Нагр;28;Рез-СН-Б    ;6;0;;;;;;;;;;6.43;35.05;; 
0;0;Нагр;30;Шины-220    ;220;0;;;;;;;;;;234.73;35.05;; 
0;0;Нагр;31;Пс-2 220    ;220;0;;;;;;;;;;230.87;33.14;; 
0;0;Нагр;32;Пс-3-220    ;220;0;;;;;;;;;;229.45;32.53;; 
