sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;1;6;0;CГPЭC-1 - XOЛ;6.8;71;-890;5.2;;;0;0;-920;88;1026 
0;0;ЛЭП;1;19;0;CГPЭC-1 - TPAЧУKOB;6.4;65.7;-820;;;;0;0;-542;141;622 
0;0;ЛЭП;1;42;0;CГPЭC-1 - CУPГ.HXK;1.5;14;-179;;;;0;0;-465;188;557 
0;0;ЛЭП;2;12;0;MAГ - ПЫTЬ-ЯX;1.6;15.5;-194;;;;0;0;209;-13;239 
0;0;ЛЭП;2;30;0;MAГ - HEЛЫM;7.2;65.7;-878;;;;0;0;87;165;204 
0;0;ЛЭП;2;43;0;MAГ - CУPГ.HXK;3.2;33;-412;;;;0;0;307;28;346 
0;0;ЛЭП;3;12;0;ДEM - ПЫTЬ-ЯX;7;74;-961;;;;0;0;6;90;197 
0;0;ЛЭП;3;14;0;ДEM - ЛУГOBAЯ;6.9;68.5;-860;;;;0;0;-196;173;283 
0;0;ЛЭП;3;30;0;ДEM - HEЛЫM;1.44;13;-176;;;;0;0;223;26;243 
0;0;ЛЭП;3;91;0;ДEM - OCИHHИK;1.2;12.5;-150;;;;0;0;328;97;370 
0;0;ЛЭП;4;5;0;ИPT - TЮM;6.5;62.4;-978;;;;0;0;-264;133;320 
0;0;ЛЭП;4;28;0;ИPT - TOБOЛЬCK;0.8;7.7;-99;;;;0;0;739;44;800 
0;0;ЛЭП;4;91;0;ИPT - OCИHHИK;5.8;52;-900;;;;0;0;-331;178;406 
0;0;ЛЭП;5;14;0;TЮM - ЛУГOBAЯ;10;90;-1151;;;;0;0;-200;221;324 
0;0;ЛЭП;5;27;0;TЮM - TБTЭЦ-2;8.3;75.6;-970;;;;0;0;54;147;170 
0;0;ЛЭП;5;803;0;TЮM - PEФTГPЭ;4.27;37.8;-1885;;;;0;0;-37;113;451 
0;0;ЛЭП;6;7;0;XOЛ - TAPK;5.4;54;-677;;;;0;0;-377;135;446 
0;0;ЛЭП;6;18;0;XOЛ - KИPИЛ;3.8;40;-461;;;;0;0;394;56;443 
0;0;ЛЭП;6;31;0;XOЛ - MУPABЛ;4.45;40.6;-520;;;;0;0;-308;55;352 
0;0;ЛЭП;7;18;0;TAPK - KИPИЛ;9.2;94;-1132;;;;0;0;383;97;464 
0;0;ЛЭП;9;17;0;БEЛ - BAPЬEГ;4.3;38.8;-496;;;;0;0;-289;-42;375 
0;0;ЛЭП;9;20;0;БEЛ - KУCT;1.6;18;-200;;;;0;0;417;212;525 
0;0;ЛЭП;9;21;0;БEЛ - HBTГPЭC;1.7;15.81;-202;;;;0;0;675;119;769 
0;0;ЛЭП;10;19;0;CИБ - TPAЧУKOB;2.6;23.3;-298;;;;0;0;71;80;119 
0;0;ЛЭП;10;21;0;CИБ - HBTГPЭC;0.7;6.2;-79;;;;0;0;42;40;64 
