sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;База;805;ШAГOЛ;500;0;;;3508.9;-228.6;500;;;;;500;;; 
0;0;Ген-;1;CГPЭC-1;520;0;;63.6;1928;;520;;816;1306;;520.11;-35.33;64; 
0;0;Ген-;4;ИPT;520;0;144.5;168.5;;;534.3;;380;653;;534.29;-35.09;168;144 
0;0;Ген-;11;CГPЭC-2;520;0;;96;3183.9;;526.6;;1400;1306;;526.77;-34.73;96; 
0;0;Ген-;21;HBTГPЭC;520;0;;46;1588.3;;520;;800;;;520.09;-43.19;46; 
0;0;Ген-;29;CГPЭC-2;520;0;;96;2302.4;;528.8;;1400;1306;;528.94;-36.29;96; 
0;0;Ген;801;TAГИЛ;500;0;400;;;65.2;500;;1000;;;500;-57.21;;400 
0;0;Ген;803;PEФTГPЭ;520;0;;;1183;563.9;520;132.2;1311;;;520;-38.57;; 
0;0;Ген;804;KOЗЫPE;505;0;14;;;532.6;505;-2000;2000;;;505;-9.68;;14 
0;0;Ген;806;БAЗ;500;0;;;365;23.9;500;-1000;1000;;;500;-69.59;; 
0;0;Ген;807;TPOИЦГP;511;0;304;;;185.7;511;;700;;;511;-6.17;;304 
0;0;Ген;809;ECИЛЬ;520;0;760;;;55.3;520;-800;800;;;520;-10.05;;760 
0;0;Ген;811;ЭKИБAC;520;0;;;2113;-68;520;-1000;1000;;;520;26.93;; 
0;0;Ген;812;OMCK;520;0;1100;;;144.5;520;-1000;1000;;;520;3.34;;1100 
0;0;Ген;813;ЭKИБ;520;0;79;;;-6.3;520;-500;1000;;;520;-12.2;;79 
0;0;Ген;814;БAЭC;520;0;;;623;266.3;519.9;-400;400;;;519.9;-50.2;; 
0;0;Ген;816;ПTЭЦ;236;0;223.3;;;121.6;228.3;-400;400;;;228.31;-18.2;;223 
0;0;Ген;831;EPMAK;520;0;;;1120;-150.8;520;-500;500;;;520;27.07;; 
0;0;Ген;832;ЮЖH;500;0;1630;149.3;;;500;;1000;;;500;-60.21;149;1630 
0;0;Ген;837;KУPГAH;505;0;405;;;-593.4;505;-2000;2000;;;505;-15.99;;405 
0;0;Ген;1112;OЖOГ;230;0;191.3;22.3;;;230;;200;;;230;-39.58;22;191 
0;0;Ген;1140;TTЭЦ-2;240;0;;;794.2;342.9;233.2;;450;;;233.24;-38.31;; 
0;0;Ген;1327;TБTЭЦ;240;0;;;145;79.8;238.7;;100;;;238.73;-35.87;; 
0;0;Ген;1328;TOБOЛЬCK;240;0;;;145;79.9;239.8;;100;;;239.77;-32.23;; 
0;0;Ген;1401;CГPЭC-1;240;0;;;1087.1;511.7;240;;620;;;240;-41.54;; 
0;0;Ген;1440;MУPABЛ;220;0;49.3;;;-146.5;220;-200;85;;;220;-60.14;;49 
0;0;Ген;1505;MИPAЖ;233;0;111.1;;;27.8;233.3;-160;160;;;233.3;-46.15;;111 
0;0;Ген;1520;KУCTOB;235;0;;;6.2;318.2;234.8;-320;320;;;234.82;-47.31;; 
0;0;Ген;1521;H.BAPГP;240;0;;;562.9;374.1;233.7;;400;;;233.66;-45.29;; 
0;0;Ген-;1605;УPEHГOЙ;220;0;149.8;61;;;236.3;;12;;;236.35;-60.64;61;150 
0;0;Ген;1636;HAДЫM;230;0;151.5;;;183;229.8;-365;257;;;229.75;-64.32;;151 
0;0;Ген;1670;ПAHГOДЫ;230;0;51.4;20;;;230.6;;6;;;230.56;-63.88;20;51 
0;0;Ген;1676;ЯMБУPГ;230;0;68.2;28.5;;;230;;16;;;230;-65.41;28;68 
0;0;Ген;1679;MУЯГ;230;0;77;34;;;237.6;;12;;;237.56;-58.93;34;77 
0;0;Ген;1685;УPГPЭC;240;0;;;432;65.3;240;;215;;;240;-57.65;; 
0;0;Ген;1712;KPACЛEH;230;0;29.8;;;-59.5;230;-160;160;;;230;-50.12;;30 
0;0;Ген;1730;ЛУГOB;237;0;;;138.7;111.8;237.2;-80;160;;;237.2;-45.27;; 
0;0;Нагр;2;MAГ;508;0;;;;;;;;;;528.1;-39.9;; 
0;0;Нагр;3;ДEM;509;0;;;;;;;;1306;;533.99;-39.39;; 
0;0;Нагр;5;TЮM;522;0;;;;;;;;1959;;531.18;-38.42;; 
0;0;Нагр;6;XOЛ;508;0;;;;;;;;;;518.98;-49.28;; 
0;0;Нагр;7;TAPK;499;0;;;;;;;;;;521.11;-53.65;; 
0;0;Нагр;9;БEЛ;516;0;;;;;;;;653;;514.63;-45.44;; 
0;0;Нагр;10;CИБ;517;0;;;;;;;;653;;519.68;-43.24;; 
0;0;Нагр;12;ПЫTЬ-ЯX;512;0;;;;;;;;;;527.58;-39.23;; 
0;0;Нагр;14;ЛУГOBAЯ;512;0;;;;;;;;1306;;538.57;-42.14;; 
0;0;Нагр;17;BAPЬEГ;502;0;;;;;;;;653;;504.56;-47.82;; 
0;0;Нагр;18;KИPИЛ;510;0;;;;;;;;;;522.31;-45.94;; 
