sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;1;Выкл;3824;3828;0;ПС 110 кВ НПС-21 1С ОРУ 110 кВ - ПС 110 кВ НПС-21 2С ОРУ 110 кВ;;;;;;;0;0;;; 
0;1;Выкл;3822;3827;0;ПС 220 кВ Сковородино 1С ОРУ 110 кВ - ПС 220 кВ Сковородино 2С ОРУ 110 кВ;;;;;;;0;0;;; 
0;0;Тр-р;3828;3826;0;ПС 110 кВ НПС-21 2С ОРУ 110 кВ - ПС 110 кВ НПС-21 2С-10 кВ;1.48;34.4;3.1;1.8;0.092;;0;0;-10;-2;53 
0;0;Тр-р;3824;3825;0;ПС 110 кВ НПС-21 1С ОРУ 110 кВ - ПС 110 кВ НПС-21 1С-10 кВ;1.48;34.4;3.1;1.8;0.092;;0;0;-10;-2;55 
0;0;ЛЭП;3827;3828;0;ПС 220 кВ Сковородино 2С ОРУ 110 кВ - ПС 110 кВ НПС-21 2С ОРУ 110 кВ;5.69;8.93;-60.7;;;;0;0;-10;-1;53 
0;0;ЛЭП;3822;3824;0;ПС 220 кВ Сковородино 1С ОРУ 110 кВ - ПС 110 кВ НПС-21 1С ОРУ 110 кВ;5.65;8.87;-60.3;;;;0;0;-10;-1;55 
1;1;Выкл;4136;4143;0;ПС 110 кВ Комсомольская 1С - ПС 110 кВ Комсомольская 2С;;;;;;;0;0;;; 
0;1;Выкл;4133;4142;0;ПС 220 кВ Томмот 2 С 10 - ПС 220 кВ Томмот 1 С 11;;;;;;;0;0;;; 
0;0;Выкл;4618;4621;0;ПС 220 кВ НПС-18 1 СШ 220 - ПС 220 кВ НПС-18 2 СШ 220;;;;;;;0;0;1;1;3 
0;1;Выкл;4315;4330;0;Нерюнгринская ГРЭС 1С-35 - Нерюнгринская ГРЭС 2С-35;;;;;;;0;0;;; 
0;1;Выкл;4116;4141;0;ПС 110 кВ Угольная 1С - ПС 110 кВ Угольная 2С;;;;;;;0;0;;; 
0;1;Выкл;4127;4140;0;ПС 110 кВ Инаглинская 2С - ПС 110 кВ Инаглинская 1С;;;;;;;0;0;;; 
0;1;Выкл;4114;4139;0;ПС 110 кВ Денисовская 1С - ПС 110 кВ Денисовская 2С;;;;;;;0;0;;; 
0;1;Выкл;4115;4138;0;ПС 110 кВ Дежневская 1С - ПС 110 кВ Дежневская 2С;;;;;;;0;0;;; 
0;1;Выкл;4801;4802;0;ПС 220 кВ Нижний Куранах 1С-35 кВ - ПС 220 кВ Нижний Куранах 2С-35 кВ;;;;;;;0;0;;; 
0;0;Выкл;1639;1640;0;ПС 220 кВ НПС-38 1С 220 - ПС 220 кВ НПС-38 2С 220;;;;;;;0;0;-120;10;293 
0;0;Выкл;1285;1286;0;ПС 110 кВ Лазурная 1С 110 кВ - ПС 110 кВ Лазурная 2С 110 кВ;;;;;;;0;0;-11;-3;52 
0;0;Выкл;1268;1287;0;ПС 110 кВ Пушкинская 2С 110 кВ - ПС 110 кВ Пушкинская 1С 110 кВ;;;;;;;0;0;19;3;99 
0;0;Выкл;1255;1256;0;ПС 110 кВ Уссурийск-1 1СШ 110 кВ - ПС 110 кВ Уссурийск-1 2СШ 110 кВ;;;;;;;0;0;-27;-11;149 
0;0;Выкл;1239;1242;0;ПС 110 кВ Агрокомплекс 1С 110 кВ - ПС 110 кВ Агрокомплекс 2С 110 кВ;;;;;;;0;0;2;-8;41 
0;0;Выкл;1175;1182;0;ПС 110 кВ Садовая 1С 110 кВ - ПС 110 кВ Садовая 2С 110 кВ;;;;;;;0;0;2;-10;52 
0;0;Выкл;1131;1132;0;ПС 220 кВ Арсеньев-2 1С 110 кВ - ПС 220 кВ Арсеньев-2 2С 110 кВ;;;;;;;0;0;-12;-6;63 
0;0;Выкл;1119;1120;0;ПС 110 кВ Ключи 1С 110 кВ - ПС 110 кВ Ключи 2С 110 кВ;;;;;;;0;0;30;7;146 
0;0;ЛЭП;2885;2887;2;ПС 110 кВ Эгге СШ 35 кВ - ПС 35 кВ Эгге;0.01;0.02;-15.5;;;;0;0;-2;5;88 
0;0;ЛЭП;2885;2887;1;ПС 110 кВ Эгге СШ 35 кВ - ПС 35 кВ Эгге;0.01;0.02;-14.2;;;;0;0;-2;6;96 
0;0;ЛЭП;2360;2887;0;Майская ГРЭС II С.Ш. - ПС 35 кВ Эгге;2.07;3.21;-21;;;;0;0;;-5;74 
0;0;ЛЭП;2359;2887;0;Майская ГРЭС I С.Ш. - ПС 35 кВ Эгге;2.06;2.98;-20.7;;;;0;0;;-5;78 
0;0;ЛЭП;2887;2880;0;ПС 35 кВ Эгге - ПС 35 кВ Центральная;3.09;5.42;-33.7;;;;0;0;-3;1;54 
0;0;Тр-р;2254;2885;2;ПС 110 кВ Эгге СШ 110 кВ - ПС 110 кВ Эгге СШ 35 кВ;2.77;54.06;1.5;;0.293;;2;70250;-3;5;26 
0;0;Тр-р;2254;2885;1;ПС 110 кВ Эгге СШ 110 кВ - ПС 110 кВ Эгге СШ 35 кВ;2.9;53.69;2.3;;0.293;;2;70250;-3;5;27 
