sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;3828;ПС 110 кВ НПС-21 2С ОРУ 110 кВ;110;0;;;;;;;;;;112.21;-31.99;; 
0;0;Нагр;3827;ПС 220 кВ Сковородино 2С ОРУ 110 кВ;110;70301;20.4;6.4;;;;;;;;112.85;-31.62;8;20 
0;0;Нагр;3826;ПС 110 кВ НПС-21 2С-10 кВ;10;2;10;1.5;;;;-10;10;;;10.23;-33.58;2;10 
0;0;Нагр;3825;ПС 110 кВ НПС-21 1С-10 кВ;10;2;10;1.5;;;;-10;10;;;9.52;-34.29;1;10 
0;0;Нагр;3824;ПС 110 кВ НПС-21 1С ОРУ 110 кВ;110;0;;;;;;;;;;104.4;-32.53;; 
1;1;Нагр;4143;ПС 110 кВ Комсомольская 2С;110;1;;;;;;;;;;;;; 
0;0;Нагр;4621;ПС 220 кВ НПС-18 2 СШ 220;220;1;17;4.8;;;;;;;;231.46;-32.58;5;18 
0;0;Нагр;4330;Нерюнгринская ГРЭС 2С-35;35;2;7.4;5.1;;;;;;;;38.6;-19.47;7;8 
0;0;Нагр;4141;ПС 110 кВ Угольная 2С;110;1;1.3;0.1;;;;;;;;118.99;-21.3;;1 
0;0;Нагр;4140;ПС 110 кВ Инаглинская 1С;110;1;0.5;0.1;;;;;;;;119.12;-20.91;;1 
0;0;Нагр;4139;ПС 110 кВ Денисовская 2С;110;1;1.4;0.4;;;;;;;;119.61;-19.99;1;1 
0;0;Нагр;4138;ПС 110 кВ Дежневская 2С;110;1;4.7;0.4;;;;;;;;119.71;-19.89;;5 
0;0;Нагр;4802;ПС 220 кВ Нижний Куранах 2С-35 кВ;35;2;7;3.3;;;;;;13493;;33.11;-39.62;3;7 
0;0;Нагр;4142;ПС 220 кВ Томмот 1 С 11;10;0;;;;;;;;;;11.11;-38.56;; 
0;0;Нагр;1640;ПС 220 кВ НПС-38 2С 220;220;1;3.2;0.6;;;;;;;;237.66;-28.52;1;3 
0;0;Нагр;1287;ПС 110 кВ Пушкинская 1С 110 кВ;110;1;;;;;;;;;;111.27;-51.5;; 
0;0;Нагр;1286;ПС 110 кВ Лазурная 2С 110 кВ;110;1;2;0.4;;;;;;;;119.52;-47.85;1;2 
0;0;Нагр;1256;ПС 110 кВ Уссурийск-1 2СШ 110 кВ;110;1;21;6.2;;;;;;;;113.25;-50.17;7;21 
0;0;Нагр;1242;ПС 110 кВ Агрокомплекс 2С 110 кВ;110;1;1.3;0.3;;;;;;;;116.42;-47.22;;1 
0;0;Нагр;1175;ПС 110 кВ Садовая 1С 110 кВ;110;1;;;;;;;;;;117.97;-49.06;; 
0;0;Нагр;1132;ПС 220 кВ Арсеньев-2 2С 110 кВ;110;1;;;;;;;;;;119.98;-42.89;; 
0;0;Нагр;1120;ПС 110 кВ Ключи 2С 110 кВ;110;1;0.1;;;;;;;;;121.41;-43.7;; 
0;0;Нагр;2887;ПС 35 кВ Эгге;35;2;;;;;;;;;;36.39;-12.17;; 
0;0;Нагр;2881;ПС 35 кВ Городская ;35;2;6.4;0.8;;;;;;;;36.38;-13.14;1;7 
0;0;Нагр;2253;ПС 110 кВ Окоча;110;0;;;;;;;;;;122.11;-11.52;; 
0;0;Нагр;2254;ПС 110 кВ Эгге СШ 110 кВ;110;0;;;;;;;;;;122.15;-11.52;; 
0;0;Нагр;2886;ПС 110 кВ Окоча СШ 35 кВ ;35;0;;;;;;;;;;36.49;-12.92;; 
0;0;Нагр;2880;ПС 35 кВ Центральная;35;2;8.5;1.9;;;;;;;;36.32;-13.08;2;9 
0;0;Нагр;2879;ПС 35 кВ Кислородная ;35;2;5.6;1.6;;;;;;;;36.3;-13.26;2;6 
0;0;Нагр;2885;ПС 110 кВ Эгге СШ 35 кВ;35;2;1.9;0.9;;;;;;;;36.39;-12.17;1;2 
1;1;Нагр;7139;отп.Л-101 отпайка на Марха;110;0;;;;;;;;;;;;; 
1;1;Нагр;7138;отп.Л-102 отпайка на Марха;110;0;;;;;;;;;;;;; 
1;1;Нагр;7134;ПС 110 кВ Марха Т-2;110;1;1.9;0.8;;;;;;;;;;; 
1;1;Нагр;7135;ПС 110 кВ Марха Т-1;110;1;1.9;0.8;;;;;;;;;;; 
1;1;Нагр;2148;ПС 110 кВ СДВ 1С 110;110;0;;;;;;;;;;;;; 
1;1;Нагр;2124;ПС 110 кВ СДВ 2С 110;110;0;;;;;;;;;;;;; 
1;1;Нагр;4608;ПП 220 кВ Налдинская;220;0;;;;;;;;;;;;; 
1;1;Нагр;1558;ПС 220 кВ Суходол;220;0;;;;;;;;;;;;; 
0;0;Нагр;60301106;ПС 220 кВ Шапка  ;220;1;6.3;5.5;;;;;;;;239.58;-1.79;6;7 
0;0;Нагр;60301105;ПС 220 кВ Чичатка  ;220;1;29.2;21.6;;;;;;;;222.02;-34.81;22;29 
0;0;Нагр;60301101;ПС 220 кВ Чернышевск  ;220;1;11.5;11.7;;;;;;;;238.38;-3.01;14;12 
0;0;Нагр;60301134;ПС 220 кВ Холбон ср. точка АТ-2 ;220;1;;;;;;;;;;241.98;-0.38;; 
0;0;Нагр;60301136;ПС 220 кВ Холбон ср. точка АТ-1 ;220;1;;;;;;;;;;239.19;-0.36;; 
0;0;Ген;60301100;ПС 220 кВ Холбон  ;110;1;2.3;1.8;9.8;-3.6;119.6;-100;100;;;119.59;-0.35;2;2 
0;0;Ген+;60301099;ПС 220 кВ Холбон  ;220;1;;;-13;100;240.4;-100;100;;;240.44;;; 
0;0;Нагр;60301098;ПС 220 кВ Холбон  ;110;1;4.3;3.5;;;;;;;;119.59;-0.35;4;5 
0;0;База;60301097;ПС 220 кВ Холбон  ;220;1;;;154.7;-111.3;240.4;-100;100;;;240.44;;; 
0;0;Нагр;60301137;ПС 220 кВ Холбон ;10;2;;0.2;;;;;;;;10.91;-0.36;; 
0;0;Нагр;60301135;ПС 220 кВ Холбон ;10;2;0.1;0.2;;;;;;;;11.04;-0.38;; 
0;1;Нагр;60301112;ПС 220 кВ Урюм ШР  ;220;1;;;;;;;;342;2;;;; 
0;0;Нагр;60301087;ПС 220 кВ Урюм  ;220;1;8.5;8;;;;;;;;237.99;-4.99;9;9 
0;1;Нагр;60301157;ПС 220 кВ Семиозернный ШР-4  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60301158;ПС 220 кВ Семиозернный ШР-3  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60301156;ПС 220 кВ Семиозернный ШР-2  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60305007;ПС 220 кВ Семиозернный ШР-1  ;220;1;;;;;;;;56;1;;;; 
0;0;Нагр;60301071;ПС 220 кВ Семиозернный  ;220;1;18.3;12.7;;;;;;;;227.2;-35.59;13;19 
0;0;Нагр;60301070;ПС 220 кВ Сбега  ;220;1;10.8;7.7;;;;;;;;238.29;-5.44;9;11 
0;0;Нагр;60301066;ПС 220 кВ Приисковая  ;220;1;12.2;12;;;;;;;;239.57;-0.85;14;13 
0;0;Нагр;60301063;ПС 220 кВ Пеньковая  ;220;1;7.9;5;;;;;;;;238.47;-6.19;6;8 
0;1;Нагр;60301119;ПС 220 кВ Могоча ШРр-6  ;10;2;;;;;;;;27273;330;;;; 
0;1;Нагр;60301118;ПС 220 кВ Могоча ШРр-5  ;10;2;;;;;;;;27273;330;;;; 
0;1;Нагр;60301117;ПС 220 кВ Могоча ШРр-4  ;10;2;;;;;;;;27273;330;;;; 
0;1;Нагр;60301116;ПС 220 кВ Могоча ШРр-3  ;10;2;;;;;;;;27273;330;;;; 
0;1;Нагр;60301115;ПС 220 кВ Могоча ШРр-2  ;10;2;;;;;;;;27273;330;;;; 
0;1;Нагр;60301114;ПС 220 кВ Могоча ШРр-1  ;10;2;;;;;;;;27273;330;;;; 
0;0;Нагр;60301188;ПС 220 кВ Могоча Фр-ПН-4 ;35;2;;;;;;;;-7758;;36.66;-35.68;; 
0;1;Нагр;60301187;ПС 220 кВ Могоча Фр-ПН-3 ;35;2;;;;;;;;-7758;;;-35.68;; 
0;0;Нагр;60301186;ПС 220 кВ Могоча Фр-ПН-2 ;35;2;;;;;;;;-7758;;36.62;-6.33;; 
0;1;Нагр;60301185;ПС 220 кВ Могоча Фр-ПН-1 ;35;2;;;;;;;;-7758;;;;; 
0;1;Ген;60301079;ПС 220 кВ Могоча ТКРМ-2  ;11;2;;;;;10;-25;40;;;;;; 
0;1;Ген;60301078;ПС 220 кВ Могоча ТКРМ-1  ;11;2;;;;;10;-25;40;;;;;; 
0;0;Нагр;60301049;ПС 220 кВ Могоча ср. точка АТ-2 ;220;1;;;;;;;;;;236.48;-6.82;; 
0;0;Нагр;60301050;ПС 220 кВ Могоча ср. точка АТ-1 ;220;1;;;;;;;;;;236.48;-6.82;; 
0;1;Нагр;60301069;ПС 220 кВ Могоча Рр-8  ;10;2;;;;;;;;245455;333;;;; 
0;1;Нагр;60301068;ПС 220 кВ Могоча Рр-7  ;10;2;;;;;;;;81818;333;;;; 
0;0;Ген;60301074;ПС 220 кВ Могоча ПН-4 ;35;2;;;;54.2;36.7;-66.5;66.5;;;36.66;-35.68;; 
0;1;Нагр;60301073;ПС 220 кВ Могоча ПН-3 ;35;2;;;;;;-66.5;66.5;;;;;; 
0;0;Ген;60301072;ПС 220 кВ Могоча ПН-2 ;35;2;;;;7.4;36.6;-66.5;66.5;;;36.62;-6.33;; 
0;1;Ген;60301003;ПС 220 кВ Могоча ПН-1 ;35;2;;;;41.2;37.4;-66.5;66.5;;;;;; 
0;0;Нагр;60301184;ПС 220 кВ Могоча 6СШ - 35 кВ ;35;2;;;;;;;;;;36.66;-35.68;; 
0;0;Нагр;60301183;ПС 220 кВ Могоча 5СШ - 35 кВ ;35;2;;;;;;;;;;34.93;-35.61;; 
0;0;Нагр;60301182;ПС 220 кВ Могоча 4СШ - 35 кВ ;35;2;;;;;;;;;;36.62;-6.33;; 
0;0;Нагр;60301181;ПС 220 кВ Могоча 3СШ - 35 кВ ;35;2;;;;;;;;;;36.15;-6.32;; 
0;0;Нагр;60301044;ПС 220 кВ Могоча 3-4 cш 220 кВ  ;220;1;;;;;;;;;;230.6;-35.61;; 
0;0;Нагр;60301043;ПС 220 кВ Могоча 1-2 сш 220 кВ  ;220;1;;;;;;;;;;238.61;-6.32;; 
0;0;Нагр;60301125;ПС 220 кВ Могоча  ;110;1;;;;;;;;;;117.16;-6.71;; 
0;0;Нагр;60301124;ПС 220 кВ Могоча  ;110;1;;;;;;;;;;117.16;-6.71;; 
0;0;Нагр;60301048;ПС 220 кВ Могоча  ;10;2;;;;;;;;;;10.88;-6.82;; 
0;0;Нагр;60301047;ПС 220 кВ Могоча  ;110;1;1.3;0.7;;;;;;;;117.16;-6.71;1;1 
0;0;Нагр;60301046;ПС 220 кВ Могоча  ;10;2;;;;;;;;;;10.88;-6.82;; 
0;0;Нагр;60301045;ПС 220 кВ Могоча  ;110;1;15;14.3;;;;;;;;117.16;-6.71;16;16 
0;0;Нагр;60301036;ПС 220 кВ Ксеньевская  ;220;1;7.1;6.4;;;;;;;;238.29;-5.76;7;8 
0;0;Нагр;60301032;ПС 220 кВ Кислый Ключ  ;220;1;8.4;4.9;;;;;;;;238.58;-6.04;6;9 
0;0;Нагр;60301029;ПС 220 кВ Зилово  ;220;1;8.5;8.2;;;;;;;;238.03;-4.32;9;9 
0;0;Нагр;60301028;ПС 220 кВ Зилово  ;220;1;10.8;9.5;;;;;;;;238.03;-4.32;11;11 
0;0;Нагр;60301150;ПС 220 кВ Жирекен ср. точка АТ-2 ;220;1;;;;;;;;;;239.03;-3.37;; 
0;0;Нагр;60301148;ПС 220 кВ Жирекен ср. точка АТ-1 ;220;1;;;;;;;;;;238.94;-3.41;; 
0;0;Нагр;60301147;ПС 220 кВ Жирекен  ;220;1;;;;;;;;;;238.42;-3.7;; 
0;0;Нагр;60301146;ПС 220 кВ Жирекен  ;220;1;;;;;;;;;;238.24;-3.72;; 
0;0;Нагр;60301025;ПС 220 кВ Жирекен  ;110;1;0.2;0.1;;;;;;;;118.14;-3.44;; 
0;0;Нагр;60301024;ПС 220 кВ Жирекен  ;110;1;;;;;;;;;;118.14;-3.44;; 
0;0;Нагр;60301151;ПС 220 кВ Жирекен ;10;2;0.8;0.5;;;;;;;;11.4;-3.55;1;1 
0;0;Нагр;60301149;ПС 220 кВ Жирекен ;10;2;;;;;;;;;;11.43;-3.41;; 
0;1;Нагр;60301113;ПС 220 кВ Бушулей ШР-2  ;220;1;;;;;230;;;348;2;;;; 
0;1;Нагр;60301160;ПС 220 кВ Бушулей ШР-1  ;220;1;;;;;;;;337;2;;;; 
0;0;Нагр;60301016;ПС 220 кВ Бушулей  ;220;1;11.8;12.4;;;;;;;;238.18;-3.53;14;12 
0;1;Нагр;60305006;ПС 220 кВ Амазар ШР-4  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60301155;ПС 220 кВ Амазар ШР-3  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60302180;ПС 220 кВ Амазар ШР-2  ;220;1;;;;;;;;56;1;;;; 
0;1;Нагр;60301154;ПС 220 кВ Амазар ШР-1  ;220;1;;;;;;;;56;1;;;; 
0;0;Нагр;60301006;ПС 220 кВ Амазар  ;220;1;12.5;4.4;;;;;;;;226.03;-34.99;5;13 
