nsx;p0;p1;p2;frec;q0;q1;q2;frecq 
70629;1.15;-1.35;1.2;;3.12;-8.37;6.25; 
70628;1.25;-1.97;1.72;;2.15;-4.97;3.82; 
70627;1;0;0;;2.35;-4.95;3.6; 
70626;1.01;-0.16;0.15;;2.8;-6.58;4.78; 
70625;0.85;-0.31;0.46;;4.25;-11.75;8.5; 
70624;0.87;-0.86;0.99;;0;0;0; 
70623;0.95;-0.72;0.77;;3.17;-9.29;7.12; 
70622;0.89;-0.38;0.49;;6;-16.91;11.91; 
70621;0.98;-1.26;1.28;;5.11;-14.32;10.21; 
70101;1.95;-2.93;1.98;;7.95;-18.38;11.43; 
70111;2.07;-3.02;1.95;;7.4;-16.82;10.42; 
70112;2.76;-4.52;2.76;;8.36;-19.49;12.13; 
70114;1.12;-0.34;0.22;;16.71;-39.19;23.48; 
70302;1.33;-1.65;1.32;;15.21;-33.15;18.94; 
70301;1;0;0;;16.69;-38.62;22.93; 
70402;0.83;-0.309;0.479;;3.64;-6.834;4.194; 
70403;0.823;-0.29;0.467;;3.676;-6.932;4.256; 
70404;0.825;-0.294;0.469;;3.681;-6.946;4.265; 
